file name,zero_crossings_rate_mean,zero_crossings_rate_var,spectral_centroid_mean,spectral_centroid_var,Spectral Rolloff_mean,Spectral Rolloff_var,spectral_bandwidth_mean,spectral_bandwidth_var,rms_mean,rms_var,tempo,Chroma features_mean,Chroma features_var,mfcc_mean_a,mfcc_var_a,mfcc_mean_b,mfcc_var_b,mfcc_mean_c,mfcc_var_c,mfcc_mean_d,mfcc_var_d,mfcc_mean_e,mfcc_var_e,mfcc_mean_f,mfcc_var_f,mfcc_mean_g,mfcc_var_g,mfcc_mean_h,mfcc_var_h,mfcc_mean_i,mfcc_var_i,mfcc_mean_j,mfcc_var_j,mfcc_mean_k,mfcc_var_k,mfcc_mean_l,mfcc_var_l,mfcc_mean_m,mfcc_var_m,mfcc_mean_n,mfcc_var_n,mfcc_mean_o,mfcc_var_o,mfcc_mean_p,mfcc_var_p,mfcc_mean_q,mfcc_var_q,mfcc_mean_r,mfcc_var_r,mfcc_mean_s,mfcc_var_s,mfcc_mean_t,mfcc_var_t,genre
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_0.wav,0.0845477764423077,0.0009338579234286878,2073.8192105240664,272198.6550191617,4510.791954627404,1567042.5836159985,2285.06493253593,121634.76139769552,0.16164208897609653,0.0020512639769788964,135.99917763157896,0.32260528,0.092779934,-39.251762,2055.712,100.5585,492.65826,-5.3831797,515.7432,46.637787,213.59645,2.80489,115.73732,5.986865,93.07388,-9.538146,103.35195,19.631897,96.917435,-5.6766386,66.55205,12.000316,56.246796,-7.363481,48.94961,10.830547,53.336895,-14.1603365,32.460323,-5.2180796,29.97544,-12.565022,40.219887,-5.992614,46.82183,-11.330988,45.091633,2.0985878,63.59788,-2.3546815,59.303905,4.449757,55.172215,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_1.wav,0.08977238581730769,0.0008755284512536764,2220.7258500684293,159989.87297481345,4828.406700721154,1295035.6484298876,2362.365769960013,156057.41116981782,0.15014916429694794,0.0017670659361018809,135.99917763157896,0.34282362,0.090744525,-40.65518,1794.825,95.20911,259.74002,-5.7055373,639.0291,49.834858,272.71902,-2.6010766,69.4111,6.748102,93.87362,-11.834358,79.73673,11.678298,41.178555,-10.728254,120.01327,6.9904914,42.658127,-7.3330297,38.62611,9.302874,90.84591,-14.2551155,23.507732,-6.9675183,40.980705,-12.866974,40.867043,-2.9111338,22.579018,-7.8519306,50.035763,0.65340614,23.06931,-8.009843,26.532557,-0.593532,36.332172,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_2.wav,0.0913837139423077,0.0008078775462314222,2071.3642693692345,189703.36502936672,4426.0670823317305,1360036.8091275706,2294.5738789983525,123618.20587175839,0.1585496795227897,0.0011455080062934692,135.99917763157896,0.29950598,0.086123765,-41.90438,1511.3348,101.666794,465.63135,-6.3696456,456.68652,44.768616,255.22206,3.7389085,125.45989,0.6612098,217.99362,-6.997305,50.76575,21.057539,95.53441,-11.982507,63.10973,11.058663,73.18604,-12.009728,49.782284,11.489532,55.33649,-9.448155,42.163147,2.5367875,53.306664,-9.696909,48.01579,0.29130605,31.610254,-7.3083982,35.17117,2.4452083,36.259697,-6.176403,22.08424,-0.67683375,22.520926,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_3.wav,0.08352989783653846,0.0009314690680193478,1947.3028071267288,239272.38504593875,4318.4010667067305,1633318.415269908,2209.3553530783984,142751.71484449873,0.1858653135566224,0.001052782797898531,135.99917763157896,0.2676149,0.087175965,-42.97077,2148.1663,103.29027,636.66296,-3.8874793,572.531,48.74651,238.6197,0.3694679,83.36696,9.998415,133.92607,-11.050149,94.656685,13.584916,62.197132,-11.906102,98.19471,9.608348,37.107227,-5.7416663,51.5165,11.113794,70.33325,-14.387378,21.522867,-2.0729516,39.454273,-7.966581,31.75098,3.6577454,29.917746,-6.290719,41.509674,-1.117368,26.292189,-11.999935,70.59858,-8.113975,52.826557,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_4.wav,0.08858548677884616,0.0010427139919890454,2016.1305007879193,224002.9067702472,4482.384690504808,1783243.2054667785,2292.7725614643387,147616.17558907327,0.14326266063203363,0.0019915314746303515,129.19921875,0.31541753,0.087757856,-67.502396,3774.171,100.23329,416.93558,-0.6817764,561.7458,48.402508,260.59866,3.0203116,122.4837,3.7781515,170.48225,-6.23533,55.464024,24.77998,135.51988,-7.479454,142.61504,9.982984,55.4938,-12.842912,60.395508,6.7569532,56.575474,-12.037106,42.094456,-0.6544461,28.852762,-7.135773,37.20437,-0.008639879,33.368427,-7.951792,37.623783,5.55489,27.902939,-6.7563024,12.609789,-2.989964,35.24148,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_5.wav,0.07989783653846154,0.0011524975793601492,1991.435100226265,279962.4864866489,4288.917142427885,1607194.4203639172,2224.870734069205,135302.83668595593,0.16540241537483033,0.0016905342312096023,135.99917763157896,0.31074125,0.091439426,-49.333363,2622.7007,102.42634,552.94,-5.6154847,593.8008,52.933826,258.43076,1.8639712,145.30109,5.8392143,109.74588,-9.914373,89.28006,13.520521,64.252205,-6.083451,109.8783,11.492951,62.805115,-7.637238,62.092495,9.577164,54.921593,-10.296164,36.241795,-5.329262,51.11459,-6.3647704,32.03089,1.1546314,34.76468,-7.149818,55.97034,0.21290182,22.658955,-8.62399,31.242079,-2.1183743,46.896362,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_6.wav,0.08000676081730769,0.000911441625222652,1949.0070989662029,207214.69032336187,4260.675518329327,1610170.7514963557,2229.815356155132,176915.80466119276,0.14657812710366208,0.0018799851546987306,135.99917763157896,0.3347084,0.08930895,-61.946373,3007.124,105.14393,405.78232,-3.6216474,839.03186,54.20352,272.31888,4.370995,169.62816,2.531716,141.46877,-7.288456,67.16224,16.83187,108.399734,-5.113819,79.96677,11.178035,52.345352,-6.2863874,56.506157,6.3466454,52.308964,-13.188197,30.229555,-5.6266828,57.537697,-10.588445,39.519615,-1.5003096,33.75769,-7.4389224,46.065407,3.093677,40.87066,-5.4419227,59.6487,-0.017526127,89.72699,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_7.wav,0.08998272235576923,0.0010664655047760913,2002.2549788113727,209367.98264149434,4350.8665114182695,1578022.573922654,2199.135904938227,147313.64801588206,0.15965282984818702,0.0018238531714925015,135.99917763157896,0.30533776,0.090819255,-48.326923,1946.0503,104.834015,490.79367,-7.4364514,731.26,44.94652,326.6464,-1.6239123,49.909798,6.536096,99.91894,-4.3457932,73.73495,28.223179,173.57245,0.22226343,79.258354,10.623911,55.705788,-13.230345,76.25358,5.9508953,51.605297,-12.657957,52.67626,-3.4657137,75.3938,-10.1606,43.879974,-8.27785,44.09544,-14.66758,45.442802,2.7033195,88.410866,1.1249571,108.07127,8.2993965,74.05244,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_8.wav,0.07131911057692308,0.0008024536787405522,1930.2284725223647,213175.82404502065,4283.782301682692,1354876.7221525575,2255.8512534852894,112190.35837053158,0.1624524307877305,0.001255263015042217,135.99917763157896,0.32845584,0.092067525,-48.624886,2156.9937,108.36518,449.3346,-2.4538658,438.9362,48.523884,147.22792,1.4166323,103.253365,2.8862412,80.494865,-12.4158125,73.571915,15.602503,54.879097,-15.846015,168.23601,10.579429,47.69133,-8.644626,54.973324,11.770742,70.64606,-8.925074,38.280792,-5.9025617,56.83406,-5.9790797,45.02562,-0.9059414,30.963383,-11.660618,28.361193,-1.7145449,29.005548,-9.958153,23.20891,-5.6686788,34.740658,blues
D:\Music Genre\THAi3sec/Blues\Blueth0.wav_1.wav_9.wav,0.10260667067307692,0.0073486539174819135,2521.8126946721027,762235.9469172382,5356.715557391827,1769341.7092487302,2486.652302385501,72772.02281926712,0.12232744085561671,0.0027877863300162387,135.99917763157896,0.33358502,0.104641184,-92.04356,4167.0625,66.00358,1674.9529,-0.46176594,258.83765,38.558174,316.90094,-7.1457005,320.1006,-1.2576303,161.58221,-24.787611,272.53406,2.1348584,179.51022,-10.730382,172.37764,4.4071174,101.62614,-18.375807,204.87808,3.8783054,78.080826,-10.417603,84.96666,-4.421189,56.171795,-11.891408,62.548206,-3.7773829,44.62751,-14.324463,43.8859,-2.7741568,61.73098,-10.972038,64.13988,-2.0742016,52.146847,blues
